
Sync-Point 0, Time: 0.0909091, Redshift: 10, Systemstep: 0, Dloga: 0, Nsync-grv:      65536, Nsync-hyd:      32768
Sync-Point 154, Time: 0.60585, Redshift: 0.650573, Systemstep: 0.0028308, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         74

Sync-Point 155, Time: 0.608694, Redshift: 0.642861, Systemstep: 0.00284409, Dloga: 0.00468339, Nsync-grv:        938, Nsync-hyd:        712

Sync-Point 156, Time: 0.611552, Redshift: 0.635185, Systemstep: 0.00285744, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         72

Sync-Point 157, Time: 0.614422, Redshift: 0.627545, Systemstep: 0.00287085, Dloga: 0.00468339, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 158, Time: 0.617307, Redshift: 0.61994, Systemstep: 0.00288433, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         69

Sync-Point 159, Time: 0.620205, Redshift: 0.612371, Systemstep: 0.00289787, Dloga: 0.00468339, Nsync-grv:        992, Nsync-hyd:        760

Sync-Point 160, Time: 0.623116, Redshift: 0.604837, Systemstep: 0.00291147, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         70

Sync-Point 161, Time: 0.626041, Redshift: 0.597339, Systemstep: 0.00292514, Dloga: 0.00468339, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 162, Time: 0.62898, Redshift: 0.589875, Systemstep: 0.00293887, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         67

Sync-Point 163, Time: 0.631933, Redshift: 0.582447, Systemstep: 0.00295267, Dloga: 0.00468339, Nsync-grv:       1016, Nsync-hyd:        815

Sync-Point 164, Time: 0.634899, Redshift: 0.575053, Systemstep: 0.00296653, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         77

Sync-Point 165, Time: 0.63788, Redshift: 0.567693, Systemstep: 0.00298045, Dloga: 0.00468339, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 166, Time: 0.640874, Redshift: 0.560368, Systemstep: 0.00299445, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         76

Sync-Point 167, Time: 0.643883, Redshift: 0.553078, Systemstep: 0.0030085, Dloga: 0.00468339, Nsync-grv:       1052, Nsync-hyd:        862

Sync-Point 168, Time: 0.646905, Redshift: 0.545821, Systemstep: 0.00302263, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         83

Sync-Point 169, Time: 0.649942, Redshift: 0.538598, Systemstep: 0.00303682, Dloga: 0.00468339, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 170, Time: 0.652993, Redshift: 0.531409, Systemstep: 0.00305107, Dloga: 0.00468339, Nsync-grv:          0, Nsync-hyd:         87

